Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Alabama,Alaska,Arizona,Arkansas,California,Connecticut,Delaware,DistrictofColumbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,PuertoRico,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,VirginIslands,Virginia,Washington,WestVirginia,Wisconsin,Wyoming
11,Chief Executives,4.12,1.25,1,3.88,4,1,3.25,2.88,4.62,4.5,3,1.38,3,1,1,3,4.25,4.12,2,2,3,3,2,2,1,207190,211500,213280,177460,289530,393930,233680,344670, ,265000,131250,280020,215780,315570,290710,211710,196580,208380,175570,184010,292170,324340,285020,243330,155210,197780,233880,240320,276150,193280,465040,163510,343030,327180,232120,273990,177610,362310,282200,120050,290840,221870,357220,223350, ,204600,220500,151670,336960,343950,203960,284090,159580
11,General and Operations Managers,3.88,1.12,1.38,3.25,3.5,1.5,2.88,2.25,4,4,2.38,1.62,2.88,1.62,1.5,2.75,4,4,2,2,3,3,2,2,1,134790,136920,120180,87730,163330,160220,165580,178210,128610,127450,80120,124590,91880,132970,137010,100750,107240,96350,126900,109540,129700,154280,124310,115300,112540,101060,101530,101660,124730,142560,182010,119280,169610,125540,114420,117950,104650,127980,121150,94390,139150,118180,150020,129040,129620,114710,110950,92740,140090,157840,100160,136820,112520
13,Accountants and Auditors,3.75,1.62,1,2.88,3.75,1.12,3.38,2.38,4,3.88,3,1,2.88,1,1,2.12,3.88,3.75,2,2,2,2,2,2,1,80760,89580,85700,75720,104710,95930,95150,116580,87360,92050,51130,76070,73200,88160,83380,80540,81420,77450,78330,84990,95950,102030,85460,92240,74620,80160,80040,75670,83450,89850,113110,82410,115490,91240,75220,86040,84650,89660,85200,43610,97210,84260,81670,82310,89860,83110,85300,63530,95650,101380,78150,86310,81580
13,"Agents and Business Managers of Artists, Performers, and Athletes",3.75,1,1,3.25,3.62,1.25,2.62,2,4,4.12,1.88,1,2.88,1,1,2,4,3.62,2,2,3,3,2,2,1, , ,90730, , ,153890, , , ,111700, , , ,96130,84670, , ,89440, , ,104000, ,78570,97330, , , , ,112120, ,138640, ,152880, , ,59010, ,60670, , , , , ,90120,82830,59000, , ,72340, , ,128380, 
13,Appraisers and Assessors of Real Estate,3.88,1.12,1.12,2.75,3.88,1.25,2.75,2.25,3.88,3.88,2.62,1.88,2.75,1,1.12,2.62,4,3.5,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,Budget Analysts,3.75,1.12,1,3,3.62,1.5,3.88,2.25,3.88,3.88,3,1,3,1,1,2,3.88,3.62,2,2,2,2,1,1,1,99700,95380,87170,66450,108150,96220,86580,117120,89270,92230, ,89740,82050,92580,81280,85500,84990,78370,80810,85080,106290,94370,90090,93220,74450,84090,75040,85610,81240,97460,95130,96610,94200,83000,81490,89680,78390,94570,84790,53780,92870,87250,79550,89450,83880,83730,88720,64720,111720,96350,80570,81760,79360
13,Business Continuity Planners,3.88,1,1,3.88,4,1,2.75,2.5,4,4,2.88,1,3,1,1,2.62,3.88,4,2,2,3,3,2,2,1,103960,94510,93850,73090,102050,94270, ,116910,92400,87940,82300,91060,80210,85600,81490,82720,87730,79860,72230,79470,105990,94140,83180,86460,79930,89520,75400,84550,74010,96980,95810,81870,94490,85440,88630,84390,92180,80310,89350,52060,92290,93380,89020,83050,87630,84430,75480,63510,94590,102960,70000,71900,84210
13,"Buyers and Purchasing Agents, Farm Products",3.62,1.5,1,3,3.38,1.75,3.12,2.38,3.62,4,2.5,1,2.88,1.88,1.75,2.12,3.62,3.25,2,2,3,3,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,"Claims Adjusters, Examiners, and Investigators",4,1.5,1,2.75,4,1.75,3,2.62,4.12,4.12,3,1,3,1,1,2.5,4.38,3.88,2,2,3,2,2,1,1,76630,89220,69310,73920,92060,93640,82380,92830,74190,76510,55110,80210,72160,76930,71810,71750,78530,73900,71200,78180,91080,88090,77280,80330,75060,76040,68900,74010,70820,82250,90390,69570,88020,75220,66010,65300,70330,82070,80690,47940,87280,75290,78610,76260,81100,71880,78930,65370,80890,83810,72700,75670,76990
13,"Compensation, Benefits, and Job Analysis Specialists",3.62,1.25,1,3,3.62,1.38,3.12,2,3.88,4,2.62,1,3,1,1,2,3.88,3.38,2,2,3,2,1,1,1,66570,79350,86200,64490,98410,85330,92500,90270,71090,76510, ,73250,72690,78890,75160,69180,72730,66020,61990,78460,84280,100660,84580,89900,58280,79300,79490,75740,73320,82060,94420,84800,91540,75130,79250,74250,62560,85260,75540,49160,83210,69430,64830,67960,78180,75790,76950, ,84620,97990,66200,73980,69740
